"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15111","TC02 - login for invalid roles invalid-email","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","5624","TC06: Verify email input field exists","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","504","TC08: Verify submit button exists","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9242","TC08: Verify submit button exists","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","11117","TC29: Navigate back to Dashboard from Password","webkit","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","7736","TC08: Verify submit button exists","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","12490","TC01 - login for all valid roles abbas@google.com","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9613","TC33: Navigate to Password page via sidebar","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","5454","TC12: Navigate to Fees page","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","10242","TC32: Navigate to AI MCQs page via Start Quiz button","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","9172","TC08: Verify submit button exists","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","10723","TC30: Navigate to Student Dashboard","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","8899","TC05 - Verify Login Page load and visibility","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","7866","TC02 - login for invalid roles abbas@google.com","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","15893","TC#1 - Validating registration teachers | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","10778","TC04 - Login attempt with empty fields | Negative","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","5140","TC03 - Verify password field masking for security","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","1724","TC06: Verify email input field exists","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","12582","TC#6 - Validating receptionist registration cancellation | Positive","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","12859","TC#7 - Validating teacher registration with empty fields | Negative","chromium","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","13347","TC01 - login for all valid roles learning82005@gmail.com","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","9701","TC01 - login for all valid roles abbas@google.com","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","9476","TC35: Verify Student Dashboard loads all sections","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","11165","TC#9: Navigate to Dashboard","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","15821","TC#3 - Validating posting announcement | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","2553","TC08: Verify submit button exists","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","5163","TC24: Navigate to Results page via quick action","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","6896","TC01 - login for all valid roles recp@gmail.com","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","6354","TC04 - Login attempt with empty fields | Negative","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4900","TC34: Navigate back to Dashboard from Password","chromium","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10859","TC19: Navigate back to Dashboard from Students","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","15707","TC02 - login for invalid roles abbas@google.com","webkit","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","10756","TC02 - login for invalid roles","webkit","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","9381","TC21: Navigate to Students page via sidebar","firefox","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","15459","TC19: Navigate back to Dashboard from Students","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","16310","TC#5 - Validating announcement posting with empty fields | Negative","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","6829","TC01 - login for all valid roles bscs2380246@szabist.pk","chromium","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","8271","TC07: Verify password input field exists","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","4093","TC28: Navigate back to Dashboard from Students","chromium","2026-07-03","passed","2026-07-03","Teacher Portal Tests","Teacher.spec.js","",""
"","13984","TC32: Navigate to AI MCQs page via Start Quiz button","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","5270","TC16: Fill Fee Collection form","chromium","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","11722","TC10: Navigate to Reception Dashboard","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","13138","TC12: Navigate to Fees page","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","8752","TC02 - login for invalid roles invalid-email","chromium","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","14713","TC34: Navigate back to Dashboard from Password","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10513","TC#8 - Validating announcement posting cancellation | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","13343","TC33: Navigate to Password page via sidebar","webkit","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","10109","TC34: Navigate back to Dashboard from Password","firefox","2026-07-03","passed","2026-07-03","Student Portal Tests","Student.spec.js","",""
"","15961","TC#4 - Validating teacher registration cancellation | Positive","webkit","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","11573","TC02 - login for invalid roles abbas@google.com","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","8906","TC05 - Verify Login Page load and visibility","firefox","2026-06-13","passed","2026-06-13","","Login.spec.js","",""
"","11505","TC02 - login for invalid roles test@invalid.pk","firefox","2026-07-03","passed","2026-07-03","Login","Login.spec.js","",""
"","13451","TC#6 - Validating receptionist registration cancellation | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","16873","TC#2 - Validating registration receptionist | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","17117","TC#3 - Validating posting announcement | Positive","firefox","2026-07-03","passed","2026-07-03","","Admin.spec.js","",""
"","16190","TC15: Cancel Register New Student","webkit","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
"","10077","TC11: Navigate to AZ Students page","firefox","2026-07-03","passed","2026-07-03","Reception Portal Tests","Reception.spec.js","",""
